timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2025-08-05T19:44:57.268124712Z,-0.096965,-0.104148,9.709086,-0.006258,-0.008389,-0.015446
2025-08-05T19:44:57.327731958Z,-0.081403,-0.263362,9.689933,-0.006791,-0.007324,-0.015446
2025-08-05T19:44:57.347650571Z,-0.132878,-0.221464,9.685144,-0.001598,-0.006924,-0.014381
2025-08-05T19:44:57.367478559Z,-0.160412,-0.183156,9.766547,-0.000666,-0.009587,-0.015446
2025-08-05T19:44:57.387357745Z,-0.098162,-0.199916,9.685144,-0.003063,-0.009587,-0.015446
2025-08-05T19:44:57.407397558Z,-0.122104,-0.223858,9.689933,-0.002530,-0.006658,-0.014381
2025-08-05T19:44:57.427060544Z,-0.141258,-0.239420,9.718663,-0.002131,-0.008522,-0.015446
2025-08-05T19:44:57.486660862Z,-0.162806,-0.208296,9.709086,-0.001198,-0.008256,-0.014381
2025-08-05T19:44:57.506537705Z,-0.138864,-0.217872,9.702802,-0.003329,-0.009188,-0.014381
2025-08-05T19:44:57.526404391Z,-0.106542,-0.211887,9.698013,-0.002131,-0.008522,-0.015446
2025-08-05T19:44:57.546482641Z,-0.111330,-0.220267,9.712379,-0.003728,-0.008123,-0.014381
2025-08-05T19:44:57.566389380Z,-0.116119,-0.211887,9.698013,-0.003063,-0.009587,-0.015446
2025-08-05T19:44:57.586261639Z,-0.136469,-0.203507,9.693225,-0.002530,-0.008256,-0.014381
2025-08-05T19:44:57.625787353Z,-0.142455,-0.209493,9.707590,-0.003063,-0.009321,-0.014381
2025-08-05T19:44:57.645675653Z,-0.107739,-0.229843,9.712379,-0.002131,-0.007989,-0.014381
2025-08-05T19:44:57.665529631Z,-0.111330,-0.232238,9.712379,-0.003196,-0.006525,-0.014381
2025-08-05T19:44:57.685403296Z,-0.144849,-0.208296,9.702203,-0.002264,-0.007856,-0.014381
2025-08-05T19:44:57.705288889Z,-0.134075,-0.197522,9.702203,-0.002530,-0.008522,-0.015446
2025-08-05T19:44:57.725234534Z,-0.128090,-0.203507,9.706991,-0.002264,-0.007989,-0.014381
2025-08-05T19:44:57.745038511Z,-0.136469,-0.219069,9.692626,-0.002929,-0.008389,-0.015446
2025-08-05T19:44:57.784800269Z,-0.125696,-0.217872,9.702203,-0.001465,-0.008522,-0.014381
2025-08-05T19:44:57.804636329Z,-0.124498,-0.209493,9.711780,-0.002663,-0.007989,-0.014381
2025-08-05T19:44:57.824681350Z,-0.124498,-0.203507,9.706991,-0.002929,-0.008389,-0.014381
2025-08-05T19:44:57.844559287Z,-0.131681,-0.213084,9.702203,-0.002397,-0.007590,-0.013316
2025-08-05T19:44:57.864216856Z,-0.141258,-0.223858,9.702203,-0.001065,-0.007723,-0.014381
2025-08-05T19:44:57.884101824Z,-0.120907,-0.219069,9.697414,-0.001598,-0.009321,-0.014381
2025-08-05T19:44:57.943724746Z,-0.092177,-0.227449,9.673472,0.042344,-0.007057,-0.011185
2025-08-05T19:44:57.963580859Z,-0.337582,-0.468066,9.587281,0.013582,-0.013049,-0.014381
2025-08-05T19:44:57.983462910Z,-0.217872,-0.228646,9.726145,-0.002530,-0.015846,-0.017577
2025-08-05T19:44:58.003339023Z,-0.045490,-0.111330,9.721356,-0.002796,-0.011185,-0.015446
2025-08-05T19:44:58.023216491Z,-0.125696,-0.125696,9.769240,-0.000000,-0.010519,-0.015446
2025-08-05T19:44:58.043094844Z,-0.146046,-0.235829,9.721356,-0.005193,-0.012650,-0.014781
2025-08-05T19:44:58.102690995Z,-0.158017,-0.205901,9.740510,-0.003063,-0.007989,-0.015846
2025-08-05T19:44:58.122560286Z,-0.441730,-0.843956,9.352650,-0.153664,0.012251,-0.016911
2025-08-05T19:44:58.142433638Z,0.064643,-0.020351,9.534609,-0.015446,-0.008522,-0.014781
2025-08-05T19:44:58.162334648Z,-0.040701,-0.495600,9.577704,0.018109,-0.015446,-0.012650
2025-08-05T19:44:58.182403419Z,-0.034716,-0.404620,9.553762,0.035553,-0.015579,-0.015846
2025-08-05T19:44:58.202225052Z,-0.207098,-0.181959,9.764452,0.170975,-0.037417,-0.012650
2025-08-05T19:44:58.261625317Z,-0.112527,-0.185551,9.745298,0.012650,-0.006125,-0.020107
2025-08-05T19:44:58.281543722Z,-0.385466,-0.543484,9.706991,0.001065,-0.005459,-0.092545
